full_title,short_title,main_author,library_name,library_city,culinary_focus,edition_year,edition_number,publication_cities,publication_countries,contributors,publishers,edition_category,short_note,language,translated_from,format,pages,has_illustrations,dimensions,price
"CHARITABLE COOKERY or, The poor man's regenerator.",Charitable Cookery,A. Soyer,,,,1848.0,,,,"A. Soyer (Author); Simpkin, Marshall, and Co. (Publisher); John Ollivier (Publisher); Hodges and Smith (Publisher)",,Original,,English,Unknown,Unknown,50.0,,,None Sixpence
"THE FINCHLEY MANUALS OF INDUSTRY. No. I. Cooking; or, Practical and economical training for those who are to be servants, wives, or mothers. Management of the kitchen, plain cooking, bread-making, baking, brewing, pickling, &c. Prepared for the use of the national and industrial schools of the Holy Trinity, at Finchley.",Finchley Manuals of Industry No. I (Cooking),Anonymous,,,,1849.0,,,,Anonymous (Author); Joseph Masters (Publisher),,Original,,English,Unknown,Duodecimo,142.0,,,
"THE FINCHLEY MANUALS OF INDUSTRY. No. III. Household work; or, The duties of female servants, practically and economically illustrated, through the respective grades of maid-of-all work, house and parlour-maid, and laundry-maid. With many valuable recipes for facilitating labour in every department.",Finchley Manuals of Industry No. III (Household Work),Anonymous,,,,1850.0,,,,Anonymous (Author); Joseph Masters (Publisher),,Original,,English,Unknown,Duodecimo,110.0,,,
THE COOK. Plain and practical directions for cooking and housekeeping; with upwards of 700 receipts.,The Cook,W. G. Lewis,,,,1849.0,,,,W. G. Lewis (Author); G. Read (Editor); Houlston and Stoneman (Publisher),,Revised Edition,,English,Unknown,Octavo,332.0,,,
"THE MODERN HOUSEWIFE or Ménagère, comprising nearly one thousand receipts for the economic and judicious preparation of every meal of the day, with those of the nursery and sick room, and minute directions for family management in all its branches. Illustrated with engravings, including the modern housewife's unique kitchen, and magic stove.",The Modern Housewife,Alexis Soyer,,,,1849.0,,,,"Alexis Soyer (Author); Simpkin, Marshall, & Co. (Publisher); Ollivier (Publisher)",,Original,,English,Unknown,Unknown,,True,,
"THE MODERN HOUSEWIFE or Ménagère, comprising nearly one thousand receipts for the economic and judicious preparation of every meal of the day, with those of the nursery and sick room, and minute directions for family management in all its branches. Illustrated with engravings, including the modern housewife's unique kitchen, and magic stove.",The Modern Housewife,Alexis Soyer,,,,1853.0,,,,"Alexis Soyer (Author); Simpkin, Marshall, & Co. (Publisher); Ollivier (Publisher)",,Reprint,,English,Unknown,Unknown,,True,,
COMMON SENSE FOR HOUSEMAIDS.,Common Sense for Housemaids,Anonymous,,,,1850.0,1.0,,,Anonymous (Author); J. Hatchard and Son (Publisher),,Original,,English,Unknown,Unknown,100.0,,,
COMMON SENSE FOR HOUSEMAIDS.,Common Sense for Housemaids,Anonymous,,,,1853.0,2.0,,,Anonymous (Author); J. Hatchard and Son (Publisher),,Revised Edition,,English,Unknown,Unknown,100.0,,,
"Klinikh or the Diet of the Diseased Divided into Three Bookes, &c., &c. Newly published by James Hart, Doctor in Physicke.",Klinikh or the Diet of the Diseased,James Hart,,,,1633.0,,,,James Hart (Author); John Beale (Printer); Robert Allot (Publisher),,Original,,English,Unknown,Unknown,,,,
"The Mysteryes of Nature and Art Conteined in foure severall Tretises ... partly collected, and partly of the Author’s Peculiar Practise, and Invention by J. B.",The Mysteryes of Nature and Art,John Bate,,,,1634.0,,,,John Bate (Author); Ralph Mab (Publisher),,Original,,English,Unknown,Unknown,,,,
